intersection_id,int_lat,int_lon,cam_lat,cam_lon,cam_heading,speed_limit,road_type,is_major_road,has_crosswalk,has_camera,has_speed_display,has_traffic_light,has_stop_sign,number_of_connecting_roads,is_lit,has_bike_lane,num_lanes,number_of_accidents,has_had_fatal
3,35.126564699999996,-89.7742127,35.12669918067163,-89.77419632026846,187.3114820803989,25,residential,0,False,False,False,False,False,4,,,,0,True
3,35.126564699999996,-89.7742127,35.12643011449462,-89.77422775010004,6.846265516260246,25,residential,0,False,False,False,False,False,4,,,,0,True
3,35.126564699999996,-89.7742127,35.12655820764437,-89.77404838505447,274.3504334782234,25,residential,0,False,False,False,False,False,4,,,,0,True
3,35.126564699999996,-89.7742127,35.12657382436071,-89.77437682953935,95.46821238102876,25,residential,0,False,False,False,False,False,4,,,,0,True
4,35.127731999999995,-89.776292,35.127716674880034,-89.77612855400191,278.10914787406443,65,secondary,1,False,False,False,False,False,3,,,5,0,True
4,35.127731999999995,-89.776292,35.12759788516418,-89.77631234236271,8.701516187253219,25,residential,0,False,False,False,False,False,3,,,,0,True
4,35.127731999999995,-89.776292,35.127757189584905,-89.77645362451202,102.3399485129309,65,secondary,1,False,False,False,False,False,3,,,5,0,True
5,35.1694199,-89.9156935,35.16941584043267,-89.9155289965536,273.40176654788615,25,residential,0,False,False,False,False,False,3,,,,0,True
5,35.1694199,-89.9156935,35.16955493502014,-89.91568700396196,183.94251576126524,25,residential,0,False,False,False,False,False,3,,,,0,True
5,35.1694199,-89.9156935,35.16928481646614,-89.91569827116166,3.341666515735369,25,residential,0,False,False,False,False,False,3,,,,0,True
6,35.169374899999994,-89.9138705,35.16937896183149,-89.91403500344366,93.40176654788615,25,residential,0,False,False,False,False,False,3,,,,0,True
6,35.169374899999994,-89.9138705,35.1695029485157,-89.91381788575534,200.32364194010316,25,residential,0,False,False,False,False,False,3,,,,0,True
6,35.169374899999994,-89.9138705,35.16924153320563,-89.91389707675502,10.972438524491736,25,residential,0,False,False,False,False,False,3,,,,0,True
7,35.1703969,-89.9156465,35.170261864991865,-89.91565299607181,3.9425157612652697,25,residential,0,False,False,False,False,False,4,,,,0,True
7,35.1703969,-89.9156465,35.17040347134568,-89.91581088500098,94.46764071351913,25,residential,0,False,False,False,False,False,4,,,,0,True
7,35.1703969,-89.9156465,35.1705320255128,-89.91564406399115,182.52851376869046,25,residential,0,False,False,False,False,False,4,,,,0,True
7,35.1703969,-89.9156465,35.170393499856495,-89.9154819724039,273.12209588985104,25,residential,0,False,False,False,False,False,4,,,,0,True
8,35.16851390000001,-89.9157255,35.16864898354554,-89.91572072883656,183.34166651573537,25,residential,0,False,False,False,False,False,3,,,,0,True
8,35.16851390000001,-89.9157255,35.16850913779868,-89.91556102632897,273.6998036835404,25,residential,0,False,False,False,False,False,3,,,,0,True
8,35.16851390000001,-89.9157255,35.168378900938734,-89.91573302363399,4.300599081147766,25,residential,0,False,False,False,False,False,3,,,,0,True
9,35.1702559,-89.9135085,35.170127851585605,-89.91356111514092,20.323641940103187,25,residential,0,False,False,False,False,False,3,,,,0,True
9,35.1702559,-89.9135085,35.17029626127889,-89.91366556808084,109.05646628872728,25,residential,0,False,False,False,False,False,3,,,,0,True
9,35.1702559,-89.9135085,35.17038491439238,-89.9134595094505,198.99691937913317,25,residential,0,False,False,False,False,False,3,,,,0,True
10,35.168462899999994,-89.9139645,35.16859786949627,-89.9139562235899,184.5619518185221,25,residential,0,False,False,False,False,False,3,,,,0,True
10,35.168462899999994,-89.9139645,35.16846766438182,-89.91412897364081,93.69980368354038,25,residential,0,False,False,False,False,False,3,,,,0,True
10,35.168462899999994,-89.9139645,35.1683279242682,-89.91397262423222,4.508910292903465,25,residential,0,False,False,False,False,False,3,,,,0,True
11,35.0476657,-90.0326149,35.04773330862331,-90.03247262335358,241.72195972054487,25,residential,0,False,False,False,False,False,4,,,,0,True
11,35.0476657,-90.0326149,35.04759516853855,-90.03275506271999,60.2801170582041,25,residential,0,False,False,False,False,False,4,,,,0,True
11,35.0476657,-90.0326149,35.04755715602554,-90.03251702085377,325.18297950515733,25,residential,0,False,False,False,False,False,4,,,,0,True
11,35.0476657,-90.0326149,35.04777481660726,-90.03271183323189,145.59262910357336,25,residential,0,False,False,False,False,False,4,,,,0,True
12,35.04787279999999,-90.0312926,35.04787806024268,-90.0314567969851,93.97278345500894,25,residential,0,False,False,False,False,False,3,,,,0,True
12,35.04787279999999,-90.0312926,35.04773779545939,-90.03129976795002,4.241977880907484,25,residential,0,False,False,False,False,False,3,,,,0,True
12,35.04787279999999,-90.0312926,35.0480065336685,-90.03126901217054,189.99498185230144,25,residential,0,False,False,False,False,False,3,,,,0,True
13,35.04880789999999,-90.0360476,35.04869176043527,-90.03613160563602,32.48999841263617,25,residential,0,False,False,False,False,False,3,,,,0,True
13,35.04880789999999,-90.0360476,35.048740582427534,-90.03590511797861,301.6228517273005,25,residential,0,False,False,False,False,False,3,,,,0,True
13,35.04880789999999,-90.0360476,35.04887492556029,-90.03619028553999,121.48025082973481,25,residential,0,False,False,False,False,False,3,,,,0,True
14,35.045644299999985,-90.0326027,35.04577935974407,-90.03259728650927,183.63048847159047,25,residential,0,False,False,False,False,False,3,,,,0,True
14,35.045644299999985,-90.0326027,35.04550967314752,-90.03261690991346,6.703579634342077,25,residential,0,False,False,False,False,False,3,,,,0,True
14,35.045644299999985,-90.0326027,35.04564607769732,-90.03276700269994,92.49631741799197,25,residential,0,False,False,False,False,False,3,,,,0,True
15,35.04836169999999,-90.0351032,35.04829500465433,-90.03496028660463,301.31846638988253,25,residential,0,False,False,False,False,False,3,,,,0,True
15,35.04836169999999,-90.0351032,35.04842901858686,-90.03524568075062,121.62285172730049,25,residential,0,False,False,False,False,False,3,,,,0,True
15,35.04836169999999,-90.0351032,35.048476303730645,-90.03501613139468,213.7403814138049,25,residential,0,False,False,False,False,False,3,,,,0,True
16,35.0444466,-90.0315534,35.04458163992183,-90.03154729545761,183.87097384992293,25,residential,0,False,False,False,False,False,3,,,,0,True
16,35.0444466,-90.0315534,35.04442656967816,-90.03139090049307,280.26597312943125,25,tertiary,0,False,False,False,False,False,3,,,,0,True
16,35.0444466,-90.0315534,35.04447019219745,-90.0317151911255,101.79639902469825,25,tertiary,0,False,False,False,False,False,3,,,,0,True
17,35.04940620000001,-90.03273980000002,35.04941986169248,-90.03257631744127,265.940300812701,25,residential,0,False,False,False,False,False,3,,,,0,True
17,35.04940620000001,-90.03273980000002,35.04938051929557,-90.03290112982808,80.78767084866018,25,residential,0,False,False,False,False,False,3,,,,0,True
17,35.04940620000001,-90.03273980000002,35.04954126821679,-90.03273471169821,183.51720086193075,25,residential,0,False,False,False,False,False,3,,,,0,True
18,35.171473599999985,-89.8366708,35.171519722148,-89.8368255081655,111.58951913800126,25,tertiary,0,False,False,False,True,False,4,,,,0,True
18,35.171473599999985,-89.8366708,35.17133850628557,-89.83667540295427,3.2374570490204633,65,secondary,1,False,False,False,True,False,4,,,7,0,True
18,35.171473599999985,-89.8366708,35.171608523584624,-89.83666134902708,184.926715362267,65,secondary,1,False,False,False,True,False,4,,,8,0,True
18,35.171473599999985,-89.8366708,35.171435755980724,-89.83682880482588,75.37342302446507,25,tertiary,0,False,False,False,True,False,4,,,,0,True
19,35.17151310000036,-89.83777335000602,35.17164752283367,-89.83775634025628,187.5674403412023,25,tertiary,0,False,False,False,False,False,2,,,,0,True
19,35.17151310000036,-89.83777335000602,35.17137867716468,-89.83779035971504,7.567440338972233,25,tertiary,0,False,False,False,False,False,2,,,,0,True
20,35.166383,-89.836844,35.166518094103026,-89.83683941060765,183.2327281084717,65,secondary,1,False,False,False,True,False,3,,,7,0,True
20,35.166383,-89.836844,35.16624791776575,-89.83684908122102,3.4040249912226272,25,tertiary,0,False,False,False,True,False,3,,,,0,True
20,35.166383,-89.836844,35.16637192795246,-89.83700802594974,86.93554945594462,65,secondary,1,False,False,False,True,False,3,,,6,0,True
21,35.173670599999994,-89.8365168,35.173535676765155,-89.83652625800204,4.929082713126775,65,secondary,1,False,False,False,False,False,4,,,8,0,True
21,35.173670599999994,-89.8365168,35.17380552410344,-89.83650736041997,184.92265387728494,65,secondary,1,False,False,False,False,False,4,,,8,0,True
21,35.173670599999994,-89.8365168,35.173791191662275,-89.83644249613101,208.47080167756602,25,motorway_link,0,False,False,False,False,False,4,,,,0,True
21,35.173670599999994,-89.8365168,35.17378580447252,-89.83660285359238,150.1131114539579,25,motorway_link,0,False,False,False,False,False,4,,,1,0,True
22,35.179421518824654,-89.81292535586672,35.17930302545993,-89.81284619308327,332.87612526895333,25,unclassified,0,False,False,False,False,False,5,,,,0,True
22,35.179421518824654,-89.81292535586672,35.17950694219642,-89.81279779954254,232.41836307653972,65,secondary,1,False,False,False,False,False,5,,,2,0,True
22,35.179421518824654,-89.81292535586672,35.17943706279179,-89.81308887132472,98.2260080606759,65,secondary,1,False,False,False,False,False,5,,,2,0,True
22,35.179421518824654,-89.81292535586672,35.17950694219642,-89.81279779954254,232.41836307653972,25,unclassified,0,False,False,False,False,False,5,,,,0,True
22,35.179421518824654,-89.81292535586672,35.17930302545993,-89.81284619308327,332.87612526895333,65,secondary,1,False,False,False,False,False,5,,,"('3', '2')",0,True
23,35.179162550000605,-89.81179175000892,35.17903022244495,-89.8118252054941,13.347600375683726,25,unclassified,0,False,False,False,False,False,2,,,,0,True
23,35.179162550000605,-89.81179175000892,35.179294877549545,-89.81175829442944,193.34760036321143,25,unclassified,0,False,False,False,False,False,2,,,,0,True
24,35.005534,-90.0886816,35.00553032627918,-90.08851742995398,273.330837674226,25,residential,0,False,False,False,False,False,3,,,,0,True
24,35.005534,-90.0886816,35.00552801007788,-90.08884566930153,89.23244869807957,25,residential,0,False,False,False,False,False,3,,,,0,True
24,35.005534,-90.0886816,35.00539887203904,-90.08868092256988,1.5366656748686864,25,residential,0,False,False,False,False,False,3,,,,0,True
25,35.00550750000001,-90.0874976,35.005511175107586,-90.08766177006073,93.33083767422602,25,residential,0,False,False,False,False,False,3,,,,0,True
25,35.00550750000001,-90.0874976,35.00550767127634,-90.08733336930759,271.6996558770451,25,residential,0,False,False,False,False,False,3,,,,0,True
25,35.00550750000001,-90.0874976,35.00537237479498,-90.08749886479836,2.2135822550810076,25,residential,0,False,False,False,False,False,3,,,,0,True
28,35.00354519999999,-90.0902937,35.00367205421941,-90.09023711380479,201.92885863234238,25,residential,0,False,False,False,False,False,3,,,,0,True
28,35.00354519999999,-90.0902937,35.00341834798871,-90.09035029340907,21.931599813903404,25,residential,0,False,False,False,False,False,3,,,,0,True
28,35.00354519999999,-90.0902937,35.003492508926904,-90.0901424729952,294.7240446605573,25,residential,0,False,False,False,False,False,3,,,,0,True
29,35.121789899999996,-89.9861875,35.121786579287594,-89.98602307497546,273.1270930368749,25,residential,0,False,False,False,False,False,3,,,,0,True
29,35.121789899999996,-89.9861875,35.12179259939744,-89.98635194186232,92.8636926158614,25,residential,0,False,False,False,False,False,3,,,,0,True
29,35.121789899999996,-89.9861875,35.12165488766215,-89.98619452066977,4.165496366291791,25,residential,0,False,False,False,False,False,3,,,,0,True
30,35.12175185004331,-89.9843083000005,35.121755308883834,-89.98447272090925,93.18468469798518,25,residential,0,False,False,False,False,False,3,,,,0,True
30,35.12175185004331,-89.9843083000005,35.121755308883834,-89.98447272090925,93.18468469798518,65,primary,1,False,False,False,False,False,3,,,3,0,True
30,35.12175185004331,-89.9843083000005,35.12174839097861,-89.98414387908916,273.18468471512824,65,primary,1,False,False,False,False,False,3,,,3,0,True
31,35.1218039,-89.9870405,35.12180120154069,-89.98687605816137,272.8636926158614,25,residential,0,False,False,False,False,False,3,,,,0,True
31,35.1218039,-89.9870405,35.12166889506694,-89.98704772657197,4.237784300339968,25,residential,0,False,False,False,False,False,3,,,,0,True
31,35.1218039,-89.9870405,35.121809330302355,-89.98720484177746,94.02259995770868,25,residential,0,False,False,False,False,False,3,,,,0,True
32,35.120539900000004,-89.9862525,35.12067491235314,-89.98624547938584,184.1654963662918,25,residential,0,False,False,False,False,False,4,,,,0,True
32,35.120539900000004,-89.9862525,35.12053452693054,-89.98608815789422,273.9977097352641,25,residential,0,False,False,False,False,False,4,,,,0,True
32,35.120539900000004,-89.9862525,35.12054586495323,-89.98641681185379,94.24897759085786,25,residential,0,False,False,False,False,False,4,,,,0,True
32,35.120539900000004,-89.9862525,35.12040497386632,-89.98626165234903,4.909018891964763,25,residential,0,False,False,False,False,False,4,,,,0,True
33,35.120509899999995,-89.985335,35.12051527409744,-89.98549934208224,93.99770973526415,25,residential,0,False,False,False,False,False,3,,,,0,True
33,35.120509899999995,-89.985335,35.120374810396115,-89.9853392909151,3.213470824071578,25,residential,0,False,False,False,False,False,3,,,,0,True
33,35.120509899999995,-89.985335,35.12050518054669,-89.98517062813468,273.71985973447397,25,residential,0,False,False,False,False,False,3,,,,0,True
34,35.12057089999999,-89.9871065,35.12070590494802,-89.98709927348831,184.23778430033997,25,residential,0,False,False,False,False,False,4,,,,0,True
34,35.12057089999999,-89.9871065,35.120564935988455,-89.98694218811464,274.24897759085786,25,residential,0,False,False,False,False,False,4,,,,0,True
34,35.12057089999999,-89.9871065,35.12057454197385,-89.98727091239223,93.26392253929674,25,residential,0,False,False,False,False,False,4,,,,0,True
34,35.12057089999999,-89.9871065,35.12043593517404,-89.98711476245916,4.599073159006537,25,residential,0,False,False,False,False,False,4,,,,0,True
35,35.119533,-89.9863208,35.11966792614519,-89.98631164774017,184.90901889196476,25,residential,0,False,False,False,False,False,4,,,,0,True
35,35.119533,-89.9863208,35.119537828461006,-89.98648516510355,93.76672910180474,25,tertiary,0,False,False,False,False,False,4,,,2,0,True
35,35.119533,-89.9863208,35.11952934149936,-89.9861563901522,273.2703391043108,25,tertiary,0,False,False,False,False,False,4,,,2,0,True
35,35.119533,-89.9863208,35.11939792435373,-89.986325696132,3.4249357966078264,25,residential,0,False,False,False,False,False,4,,,,0,True
36,35.1195579,-89.9871685,35.11969286517408,-89.98716024575532,184.59623250631628,25,residential,0,False,False,False,False,False,4,,,,0,True
36,35.1195579,-89.9871685,35.11955307247131,-89.98700413488426,273.76672910180474,25,tertiary,0,False,False,False,False,False,4,,,2,0,True
36,35.1195579,-89.9871685,35.11955971617127,-89.98733295523161,92.48963314711966,25,tertiary,0,False,False,False,False,False,4,,,2,0,True
36,35.1195579,-89.9871685,35.119422844742324,-89.98717416587256,3.6937162211629584,25,residential,0,False,False,False,False,False,4,,,,0,True
