intersection_id,int_lat,int_lon,cam_lat,cam_lon,cam_heading,speed_limit,road_type,is_major_road,has_crosswalk,has_camera,has_speed_display,has_traffic_light,has_stop_sign,number_of_connecting_roads,is_lit,has_bike_lane,num_lanes,number_of_accidents
0,42.44637339999999,-83.1290626,42.44639170167249,-83.12888194990593,263.6479807115897,65,trunk,1,False,False,False,False,False,3,,,3,0
0,42.44637339999999,-83.1290626,42.44634559359114,-83.12888417504455,283.3202548418623,65,trunk,1,False,False,False,False,False,3,,,2,0
0,42.44637339999999,-83.1290626,42.44636792296519,-83.12924478233326,89.11282906257918,65,trunk,1,False,False,False,False,False,3,,,4,0
1,42.446551,-83.1206599,42.446561663760434,-83.12084166404685,95.9609116946433,65,trunk,1,False,False,False,False,False,3,,,3,0
1,42.446551,-83.1206599,42.44655032936092,-83.12047756880578,271.716083399116,65,trunk,1,False,False,False,False,False,3,,,"('4', '5')",0
1,42.446551,-83.1206599,42.44653755587859,-83.12084132754751,85.71797490989354,65,trunk,1,False,False,False,False,False,3,,,"('2', '1')",0
2,42.44629110005835,-83.1277760500044,42.446289365811225,-83.12795836718396,90.7006111691785,65,trunk,1,False,False,False,False,False,4,,,2,1
2,42.44629110005835,-83.1277760500044,42.44629283401546,-83.12759373280298,270.70061118599716,25,residential,0,False,False,False,False,False,4,,,,1
2,42.44629110005835,-83.1277760500044,42.44629283401546,-83.12759373280298,270.70061118599716,65,trunk,1,False,False,False,False,False,4,,,3,1
2,42.44629110005835,-83.1277760500044,42.446289365811225,-83.12795836718396,90.7006111691785,25,residential,0,False,False,False,False,False,4,,,1,1
3,42.37051494901175,-82.95382811757847,42.3705325369065,-82.95364754512026,263.8338254911024,25,tertiary,0,False,False,False,True,False,5,,,,6
3,42.37051494901175,-82.95382811757847,42.37053244563371,-82.953647528995,263.8728799062585,65,secondary,1,False,False,False,True,False,5,,,5,6
3,42.37051494901175,-82.95382811757847,42.37049743254582,-82.95400870260232,83.86451015009402,25,residential,0,False,False,False,True,False,5,,,,6
3,42.37051494901175,-82.95382811757847,42.37049743254582,-82.95400870260232,83.86451015009402,65,secondary,1,False,False,False,True,False,5,,,"('4', '5')",6
3,42.37051494901175,-82.95382811757847,42.37053244563371,-82.953647528995,263.8728799062585,25,tertiary,0,False,False,False,True,False,5,,,"('2', '1')",6
4,42.369224600016565,-82.95276249995693,42.369321472093525,-82.95288939202607,137.14948523177054,25,tertiary,0,False,False,False,False,False,4,,,,0
4,42.369224600016565,-82.95276249995693,42.369321472093525,-82.95288939202607,137.14948523177054,25,tertiary,0,False,False,False,False,False,4,,,"('2', '1')",0
4,42.369224600016565,-82.95276249995693,42.36912772778949,-82.95263560827837,317.14948525787213,25,tertiary,0,False,False,False,False,False,4,,,,0
4,42.369224600016565,-82.95276249995693,42.36912772778949,-82.95263560827837,317.14948525787213,25,residential,0,False,False,False,False,False,4,,,,0
5,42.36698989999999,-82.9502804,42.36711102184431,-82.95036094532813,155.06508747574003,25,tertiary,0,False,False,False,True,False,4,,,,6
5,42.36698989999999,-82.9502804,42.366934031251354,-82.9504461990031,66.87748271232567,25,tertiary,0,False,False,False,True,False,4,,,,6
5,42.36698989999999,-82.9502804,42.36705003917483,-82.95011734022972,244.8709509811934,25,residential,0,False,False,False,True,False,4,,,,6
5,42.36698989999999,-82.9502804,42.366868138716455,-82.95020162751689,335.68523123940014,25,residential,0,False,False,False,True,False,4,,,,6
6,42.366666,-82.951225,42.36678758384587,-82.95130426892266,155.5124603577824,25,residential,0,False,False,False,False,False,3,,,,0
6,42.366666,-82.951225,42.36672980685688,-82.95106449598109,243.12010499777335,25,tertiary,0,False,False,False,False,False,3,,,,0
6,42.366666,-82.951225,42.36660742376865,-82.95138909005581,65.60991527079324,25,tertiary,0,False,False,False,False,False,3,,,,0
7,42.3706179,-82.952765,42.370600462759406,-82.95294559932654,83.89769560296332,65,secondary,1,False,False,False,False,False,3,,,5,7
7,42.3706179,-82.952765,42.3707390186077,-82.95284555828552,155.06391314263237,25,residential,0,False,False,False,False,False,3,,,,7
7,42.3706179,-82.952765,42.37063612603779,-82.95258454231048,263.55996203454583,65,secondary,1,False,False,False,False,False,3,,,"('4', '5')",7
8,42.37042389999999,-82.954768,42.37044157362982,-82.95458744308364,263.7977667226329,65,secondary,1,False,False,False,False,False,3,,,"('4', '5')",4
8,42.37042389999999,-82.954768,42.37030318596551,-82.95468634542358,334.67984233399295,25,residential,0,False,False,False,False,False,3,,,,4
8,42.37042389999999,-82.954768,42.37040564475669,-82.95494845158191,83.54891845416171,65,secondary,1,False,False,False,False,False,3,,,5,4
9,42.366353000000004,-82.9521019,42.36641156633395,-82.95193780422795,245.6150444442393,25,tertiary,0,False,False,False,False,False,3,,,,0
9,42.366353000000004,-82.9521019,42.36647446471828,-82.95218149983664,155.39720022777988,25,residential,0,False,False,False,False,False,3,,,,0
9,42.366353000000004,-82.9521019,42.36629370580283,-82.95226551959668,65.27194817476902,25,tertiary,0,False,False,False,False,False,3,,,,0
10,42.3703219,-82.955824,42.37033836781626,-82.95564323622582,264.31419289908536,65,secondary,1,False,False,False,False,False,3,,,5,10
10,42.3703219,-82.955824,42.370200258094606,-82.95574488959794,335.57248996944014,25,residential,0,False,False,False,False,False,3,,,,10
10,42.3703219,-82.955824,42.37030452866672,-82.95600460984592,83.92794102026198,65,secondary,1,False,False,False,False,False,3,,,"('4', '5')",10
11,42.368977,-82.944775,42.368917663145524,-82.94493859875269,65.24698313922806,25,residential,0,False,False,False,False,False,3,,,,0
11,42.368977,-82.944775,42.36903582689873,-82.94461106650681,245.4874760632897,25,residential,0,False,False,False,False,False,3,,,,0
11,42.368977,-82.944775,42.36909866107457,-82.94485405680638,155.58334228700073,25,residential,0,False,False,False,False,False,3,,,,0
12,42.36451679999999,-82.94757,42.364637196503764,-82.94765249642742,154.37561082943387,25,residential,0,False,False,False,False,False,5,,,,3
12,42.36451679999999,-82.94757,42.364458192557976,-82.947734064447,65.59274258647793,25,residential,0,False,False,False,False,False,5,,,,3
12,42.36451679999999,-82.94757,42.364394422088715,-82.94749298725834,336.2948161961841,25,residential,0,False,False,False,False,False,5,,,,3
12,42.36451679999999,-82.94757,42.36450204320985,-82.94738898389394,277.5858242098077,25,residential,0,False,False,False,False,False,5,,,,3
12,42.36451679999999,-82.94757,42.36462511723406,-82.94746123815935,217.98525181529308,25,residential,0,False,False,False,False,False,5,,,,3
13,42.36601799999999,-82.953026,42.366077273931616,-82.952862367816,245.28201755305372,25,tertiary,0,False,False,False,False,False,4,,,,6
13,42.36601799999999,-82.953026,42.36613962850813,-82.95310514320781,155.55728192467666,25,residential,0,False,False,False,False,False,4,,,,6
13,42.36601799999999,-82.953026,42.36589635591954,-82.95294690045984,335.5724265068374,25,residential,0,False,False,False,False,False,4,,,,6
13,42.36601799999999,-82.953026,42.36595899383396,-82.95318980790387,65.40848861326947,25,tertiary,0,False,False,False,False,False,4,,,,6
14,42.374885600000006,-82.9395284,42.37500710915273,-82.93960788841346,155.43178268969893,25,tertiary,0,False,False,False,True,False,3,,,,15
14,42.374885600000006,-82.9395284,42.37476290541028,-82.93945229592966,336.6091508132591,25,residential,0,False,False,False,True,False,3,,,,15
14,42.374885600000006,-82.9395284,42.37482122041426,-82.93968850902763,62.836547240276445,65,secondary,1,False,False,False,True,False,3,,,5,15
17,42.37457090001964,-82.94029430003117,42.37463717768071,-82.94013560661416,241.91683125192287,65,secondary,1,False,False,False,False,False,4,,,5,5
17,42.37457090001964,-82.94029430003117,42.37463717768071,-82.94013560661416,241.91683125192287,25,residential,0,False,False,False,False,False,4,,,,5
17,42.37457090001964,-82.94029430003117,42.37450462214477,-82.94045299310861,61.916831203338006,25,residential,0,False,False,False,False,False,4,,,,5
17,42.37457090001964,-82.94029430003117,42.37450462214477,-82.94045299310861,61.916831203338006,65,secondary,1,False,False,False,False,False,4,,,"('2', '3')",5
18,42.42500530002326,-82.92897875011673,42.42488773149655,-82.92906844199284,30.77695573077625,65,secondary,1,False,False,False,True,False,4,,,3,23
18,42.42500530002326,-82.92897875011673,42.42488773149655,-82.92906844199284,30.77695573077625,65,secondary,1,False,False,False,True,False,4,,,2,23
18,42.42500530002326,-82.92897875011673,42.42512286848423,-82.92888905791071,210.77695573328742,25,secondary_link,0,False,False,False,True,False,4,,,1,23
18,42.42500530002326,-82.92897875011673,42.42512286848423,-82.92888905791071,210.77695573328742,65,secondary,1,False,False,False,True,False,4,,,2,23
19,42.42455860001517,-82.92932310007538,42.42467590602309,-82.92923278463888,211.00268460710356,65,secondary,1,False,False,False,True,False,3,,,3,30
19,42.42455860001517,-82.92932310007538,42.424441293940546,-82.9294134151803,31.002684597429493,65,secondary,1,False,False,False,True,False,3,,,2,30
19,42.42455860001517,-82.92932310007538,42.424441293940546,-82.9294134151803,31.002684597429493,25,secondary_link,0,False,False,False,True,False,3,,,1,30
20,42.4252411,-82.9298827,42.42517572974813,-82.92972319496171,300.25253170141536,65,secondary,1,False,False,False,False,False,3,,,2,1
20,42.4252411,-82.9298827,42.42512565993995,-82.92997729507559,32.56381138737288,25,residential,0,False,False,False,False,False,3,,,,1
20,42.4252411,-82.9298827,42.42530683659665,-82.93004193065552,120.43041769585938,65,secondary,1,False,False,False,False,False,3,,,2,1
22,42.449221800000764,-82.94221180000328,42.44933459972319,-82.94211153336867,214.6679083751747,25,tertiary,0,False,False,False,False,False,3,,,3,0
22,42.449221800000764,-82.94221180000328,42.449109000195755,-82.94231206628206,34.66790836025632,25,tertiary,0,False,False,False,False,False,3,,,3,0
22,42.449221800000764,-82.94221180000328,42.449109000195755,-82.94231206628206,34.66790836025632,25,residential,0,False,False,False,False,False,3,,,,0
