intersection_id,int_lat,int_lon,cam_lat,cam_lon,cam_heading,speed_limit,road_type,is_major_road,has_crosswalk,has_camera,has_speed_display,has_traffic_light,has_stop_sign,number_of_connecting_roads,is_lit,has_bike_lane,num_lanes,number_of_accidents
0,40.01860000000156,-75.15540049999215,40.01872133696172,-75.1554779047595,153.972832156526,25,residential,0,False,False,False,False,False,4,,,,0
0,40.01860000000156,-75.15540049999215,40.01872133696172,-75.1554779047595,153.972832156526,65,primary,1,False,False,False,False,False,4,,,2,0
0,40.01860000000156,-75.15540049999215,40.01847866298663,-75.15532309549955,333.97283216054944,25,residential,0,False,False,False,False,False,4,,,,0
0,40.01860000000156,-75.15540049999215,40.01847866298663,-75.15532309549955,333.97283216054944,65,primary,1,False,False,False,False,False,4,,,2,0
1,40.01777420000532,-75.15713754997775,40.01789012440531,-75.15722790300059,149.16813186847702,25,residential,0,False,False,False,False,False,2,,,,0
1,40.01777420000532,-75.15713754997775,40.01765827553197,-75.1570471972611,329.16813186419586,25,residential,0,False,False,False,False,False,2,,,,0
2,40.019078,-75.155692,40.018955570973695,-75.15561756057377,335.0448526085415,65,primary,1,False,False,False,True,False,3,,,2,0
2,40.019078,-75.155692,40.019198834750206,-75.15577072303684,153.49362029390318,65,primary,1,False,False,False,True,False,3,,,2,0
2,40.019078,-75.155692,40.01914069199823,-75.15553628098198,242.46214677930084,25,residential,0,False,False,False,True,False,3,,,,0
3,40.018085799999994,-75.1573804,40.01796987337348,-75.15729005156155,329.1700703809888,25,residential,0,False,False,False,False,False,3,,,,0
3,40.018085799999994,-75.1573804,40.01801624599312,-75.15753110696664,59.12671439552332,25,residential,0,False,False,False,False,False,3,,,,0
3,40.018085799999994,-75.1573804,40.01820166064195,-75.15747089165032,149.1157498172966,25,residential,0,False,False,False,False,False,3,,,,0
4,40.01706999999999,-75.158562,40.01713853574829,-75.15841050804441,239.62955977845814,25,residential,0,False,False,False,False,False,3,,,,0
4,40.01706999999999,-75.158562,40.01695530666257,-75.15846902842635,328.16818386983533,65,secondary,1,False,False,False,False,False,3,,,,0
4,40.01706999999999,-75.158562,40.01718525548641,-75.15865378825184,148.62170202304344,65,secondary,1,False,False,False,False,False,3,,,,0
5,40.017336400000005,-75.1567964,40.01745233205613,-75.15688673584954,149.17421844693587,25,residential,0,False,False,False,False,False,4,,,,0
5,40.017336400000005,-75.1567964,40.01740684595246,-75.15664639695359,238.68418033559993,25,residential,0,False,False,False,False,False,4,,,,0
5,40.017336400000005,-75.1567964,40.017267175208744,-75.15694736151852,59.28899011092926,25,residential,0,False,False,False,False,False,4,,,,0
5,40.017336400000005,-75.1567964,40.01722048871825,-75.15670601921467,329.15702524788065,25,residential,0,False,False,False,False,False,4,,,,0
6,40.016674,-75.158241,40.016788693527424,-75.15833397080922,148.16818386983533,65,secondary,1,False,False,False,False,False,3,,,,0
6,40.016674,-75.158241,40.016743215112754,-75.1580900322839,239.29460041491535,25,residential,0,False,False,False,False,False,3,,,,0
6,40.016674,-75.158241,40.01655782450592,-75.15815119573053,329.37648385142063,65,secondary,1,False,False,False,False,False,3,,,"('4', '2', '3')",0
7,40.01741399999999,-75.158836,40.01748355570591,-75.15868529568654,239.12671439552332,25,residential,0,False,False,False,False,False,3,,,,0
7,40.01741399999999,-75.158836,40.017298754356204,-75.15874419055041,328.61383399516257,65,secondary,1,False,False,False,False,False,3,,,,0
7,40.01741399999999,-75.158836,40.01753253100916,-75.15892043822032,151.3915036117857,65,secondary,1,False,False,False,False,False,3,,,,0
8,40.034313000000004,-75.1918935,40.03423857941354,-75.19204025638412,56.71056792261618,25,residential,0,False,False,False,False,False,3,,,2,0
8,40.034313000000004,-75.1918935,40.0344172490447,-75.1920053834997,140.60163302766512,25,tertiary,0,False,False,False,False,False,3,,,2,0
8,40.034313000000004,-75.1918935,40.03421197524077,-75.19177671808586,318.4997700468534,25,tertiary,0,False,False,False,False,False,3,,,2,0
9,40.0326737,-75.1952383,40.0327802615443,-75.19513016899089,218.08063615169374,25,residential,0,False,False,False,False,False,3,,,2,0
9,40.0326737,-75.1952383,40.0327286946891,-75.19539889562873,114.1376695665623,25,tertiary,0,False,False,False,False,False,3,,,3,0
9,40.0326737,-75.1952383,40.03261812345511,-75.19507804384004,294.4079019912487,25,tertiary,0,False,False,False,False,False,3,,,3,0
10,40.035026499999994,-75.192708,40.03492620486783,-75.19259015733705,318.03671779574006,25,tertiary,0,False,False,False,False,False,3,,,2,0
10,40.035026499999994,-75.192708,40.03512653703425,-75.19282621354073,137.87379898090353,25,tertiary,0,False,False,False,False,False,3,,,2,0
10,40.035026499999994,-75.192708,40.03496748758706,-75.19286616911073,64.23320307393573,25,residential,0,False,False,False,False,False,3,,,1,0
11,40.033652399999994,-75.1911147,40.033752853121484,-75.19123231254929,138.13577671427015,25,tertiary,0,False,False,False,False,False,3,,,2,0
11,40.033652399999994,-75.1911147,40.033572435736524,-75.19125643423355,53.846036399203854,25,residential,0,False,False,False,False,False,3,,,2,0
11,40.033652399999994,-75.1911147,40.03355240285905,-75.19099643184323,317.84752623497207,25,tertiary,0,False,False,False,False,False,3,,,2,0
