intersection_id,int_lat,int_lon,cam_lat,cam_lon,cam_heading,speed_limit,road_type,is_major_road,has_crosswalk,has_camera,has_speed_display,has_traffic_light,has_stop_sign,number_of_connecting_roads,is_lit,has_bike_lane,num_lanes,number_of_accidents,has_had_fatal
0,34.027025,-118.42954800000001,34.027085529473375,-118.42940272909185,244.21509458836076,65.0,secondary,1,False,False,False,True,False,4,,,6,30,False
0,34.027025,-118.42954800000001,34.026966401403214,-118.4296944083724,65.126241794757,65.0,secondary,1,False,False,False,True,False,4,,,"('6', '5', '4')",30,False
0,34.027025,-118.42954800000001,34.026966401403214,-118.4296944083724,65.126241794757,65.0,secondary,1,False,False,False,True,False,4,,,"('4', '5', '6')",30,False
0,34.027025,-118.42954800000001,34.02690706580911,-118.4294684659034,331.4855010571976,25.0,motorway_link,0,False,False,False,True,False,4,,,"('2', '1')",30,False
1,34.02735640000001,-118.428672,34.027300468982745,-118.42881990640356,66.37314713155763,65.0,secondary,1,False,False,False,True,False,4,,,6,43,True
1,34.02735640000001,-118.428672,34.02741474401407,-118.42852544431375,245.24528280244948,65.0,secondary,1,False,False,False,True,False,4,,,"('5', '4')",43,True
1,34.02735640000001,-118.428672,34.02747102249161,-118.42875823638103,148.73606639257264,65.0,secondary,1,False,False,False,True,False,4,,,"('5', '4')",43,True
1,34.02735640000001,-118.428672,34.02724488653505,-118.4285800713754,326.3346846459858,65.0,secondary,1,False,False,False,True,False,4,,,"('7', '5', '4')",43,True
2,34.0266252,-118.4305473,34.02668378803842,-118.43040088616308,245.13166914616255,65.0,secondary,1,False,False,False,True,False,4,,,"('6', '5', '4')",3,False
2,34.0266252,-118.4305473,34.02651280148618,-118.4304569404996,327.00396987619655,25.0,motorway_link,0,False,False,False,True,False,4,,,"('2', '1')",3,False
2,34.0266252,-118.4305473,34.02668378803842,-118.43040088616308,245.13166914616255,65.0,secondary,1,False,False,False,True,False,4,,,"('4', '5', '6')",3,False
2,34.0266252,-118.4305473,34.02656917129485,-118.430695151694,66.32871170831072,65.0,secondary,1,False,False,False,True,False,4,,,"('5', '6')",3,False
3,34.02876845768857,-118.42543435042016,34.0286372591449,-118.42547383361361,14.864390866938038,65.0,secondary,1,False,False,False,True,False,5,,,"('5', '4')",2,False
3,34.02876845768857,-118.42543435042016,34.0286372591449,-118.42547383361361,14.864390866938038,25.0,residential,0,False,False,False,True,False,5,,,,2,False
3,34.02876845768857,-118.42543435042016,34.028714699080375,-118.42528528389005,294.2174473512101,65.0,secondary,1,False,False,False,True,False,5,,,"('5', '4')",2,False
3,34.02876845768857,-118.42543435042016,34.028779512665466,-118.4255962563601,95.48613312547639,25.0,tertiary,0,False,False,False,True,False,5,,,,2,False
3,34.02876845768857,-118.42543435042016,34.02889928991852,-118.42539315100034,195.4892378597528,25.0,residential,0,False,False,False,True,False,5,,,2,2,False
4,34.028212599999996,-118.4265473,34.02827063524116,-118.42640056598711,245.38902090718972,65.0,secondary,1,False,False,False,False,False,4,,,"('5', '4')",11,False
4,34.028212599999996,-118.4265473,34.02809943739606,-118.42645832485097,327.5880750290193,25.0,residential,0,False,False,False,False,False,4,,,,11,False
4,34.028212599999996,-118.4265473,34.028321463770354,-118.42664370248481,144.39734408000942,25.0,residential,0,False,False,False,False,False,4,,,,11,False
4,34.028212599999996,-118.4265473,34.02815373306009,-118.42669355520212,64.99841303750418,65.0,secondary,1,False,False,False,False,False,4,,,4,11,False
5,34.0278959,-118.42487000000001,34.028007664274824,-118.42496148920112,146.52073507444584,25.0,residential,0,False,False,False,False,True,3,,,,2,False
5,34.0278959,-118.42487000000001,34.02782046328055,-118.42500483421588,56.89787052291388,25.0,residential,0,False,False,False,False,True,3,,,,2,False
5,34.0278959,-118.42487000000001,34.027782780775375,-118.42478094548586,327.5535454966416,25.0,residential,0,False,False,False,False,True,3,,,,2,False
6,34.03012530000001,-118.4218408,34.03004842266161,-118.42197445894128,56.15777530737785,65.0,secondary,1,False,False,False,False,False,4,,,4,0,False
6,34.03012530000001,-118.4218408,34.03023941038639,-118.42192801392541,148.32580123964112,25.0,residential,0,False,False,False,False,False,4,,,,0,False
