ObjectId,Crash ID,Primary Road,Intersecting Road,Crash Date,Day,Month,Year,Hour,Weekday,Crash Type Code,Highway Classification Code,Community Code,Jurisdiction Code,Lane Departure Type Code,Surface Type,Road Condition,Weather Condition,Lighting Condition,Speed Limit,Lanes,Units,Occupants,Most Severe Injury,Fatal Injuries,Suspected Serious Injuries,Suspected Minor Injuries,Possible Injuries,Property Damage Only,Secondary Crash,Traffic Control,Red Light Run,Hit and Run,Alcohol,Drugs,Unbelted Person,Work Zone,Speeding Driver,Distracted Driver,Driveway,Pedestrian,Elderly Driver,Young Driver,Commercial Vehicle,Emergency Vehicles,Train,School Bus,Motorcycle,Bicycle,Deer,Longitude,Latitude,geom,geog,x,y
1,9912860,RAMP 000H,WB I-96,2016-12-31,31,12,2016,8,7,5,1,,1,0,,1,2,1,0,2,2,4,4,0,0,0,3,false,,false,false,true,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.21251,42.37929,"{
  ""coordinates"": [
    -8.321250994899999e+01,
    4.237928991200000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.212509949,
    42.379289912
  ],
  ""type"": ""Point""
}",-83.212509949,42.379289912
2,9911950,HARPER,CONNER,2016-12-31,31,12,2016,21,7,4,9,,4,0,,1,1,4,30,4,2,3,4,0,0,0,1,false,,false,false,true,false,false,,,,,,false,false,true,,,false,false,false,false,false,-82.98951,42.39731,"{
  ""coordinates"": [
    -8.298950765399999e+01,
    4.239730892600010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -82.989507654,
    42.397308926
  ],
  ""type"": ""Point""
}",-82.989507654,42.3973089260001
3,9910808,DAVISON,LASALLE,2016-12-31,31,12,2016,14,7,5,3,,1,0,,98,98,98,30,3,2,3,5,0,0,0,0,true,,false,false,true,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.11932,42.39402,"{
  ""coordinates"": [
    -8.311931666500000e+01,
    4.239402084100000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.119316665,
    42.394020841
  ],
  ""type"": ""Point""
}",-83.119316665,42.394020841
4,9936644,I-375,GRATIOT,2016-12-31,31,12,2016,22,7,5,1,,1,0,,1,2,4,55,4,2,2,5,0,0,0,0,true,,false,false,true,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.04182,42.33994,"{
  ""coordinates"": [
    -8.304182298400001e+01,
    4.233993477400000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.041822984,
    42.339934774
  ],
  ""type"": ""Point""
}",-83.041822984,42.339934774
5,9917227,MORANG,DUCHESS,2016-12-31,31,12,2016,22,7,5,9,,4,0,,1,1,4,30,2,2,2,4,0,0,0,2,false,,false,false,false,true,false,,,,,,false,false,false,,,false,false,false,false,false,-82.95389,42.42772,"{
  ""coordinates"": [
    -8.295388481700000e+01,
    4.242771359600000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -82.953884817,
    42.427713596
  ],
  ""type"": ""Point""
}",-82.953884817,42.427713596
6,9914388,WARREN,CADIEUX,2016-12-31,31,12,2016,13,7,4,9,,4,0,,1,1,1,30,2,2,3,3,0,0,1,1,false,,true,true,false,false,false,,,,,,false,false,false,,,false,false,false,false,false,-82.92982,42.40607,"{
  ""coordinates"": [
    -8.292982057099989e+01,
    4.240607307700000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -82.929820571,
    42.406073077
  ],
  ""type"": ""Point""
}",-82.9298205709999,42.406073077
7,9928372,7 MILE,JOHN R,2016-12-31,31,12,2016,22,7,4,9,,4,0,,1,1,4,30,2,2,2,5,0,0,0,0,true,,false,false,true,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.10236,42.43227,"{
  ""coordinates"": [
    -8.310235337400000e+01,
    4.243227572600010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.102353374,
    42.432275726
  ],
  ""type"": ""Point""
}",-83.102353374,42.4322757260001
8,9909880,LAFAYETTE,I-75,2016-12-31,31,12,2016,1,7,5,9,,4,0,,1,1,4,35,2,2,4,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,true,false,,,false,false,false,false,false,-83.03748,42.33577,"{
  ""coordinates"": [
    -8.303748569800000e+01,
    4.233577407600010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.037485698,
    42.335774076
  ],
  ""type"": ""Point""
}",-83.037485698,42.3357740760001
9,9909830,MORANG,KELLY,2016-12-31,31,12,2016,8,7,97,9,,4,0,,1,1,1,35,2,2,2,5,0,0,0,0,true,,false,false,false,false,false,,,,,,false,false,false,,,false,false,false,false,false,-82.95711,42.42904,"{
  ""coordinates"": [
    -8.295710725899990e+01,
    4.242904302300010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -82.957107259,
    42.429043023
  ],
  ""type"": ""Point""
}",-82.9571072589999,42.4290430230001
10,9910762,MILWAUKEE,N M 10,2016-12-31,31,12,2016,12,7,4,3,,4,0,,1,1,1,30,8,2,3,4,0,0,0,2,false,,true,true,false,false,false,,,,,,false,true,false,,,false,false,false,false,false,-83.0809,42.36597,"{
  ""coordinates"": [
    -8.308090467700001e+01,
    4.236597403100010e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.080904677,
    42.365974031
  ],
  ""type"": ""Point""
}",-83.080904677,42.3659740310001
11,9909817,MACK,CONCORD,2016-12-31,31,12,2016,20,7,8,9,,4,0,,1,1,4,30,2,2,2,4,0,0,0,2,false,,false,false,true,false,false,,,,,,false,false,false,,,false,false,false,false,false,-83.01634,42.3632,"{
  ""coordinates"": [
    -8.301633911999990e+01,
    4.236320267900000e+01
  ],
  ""type"": ""Point""
}","{
  ""coordinates"": [
    -83.01633912,
    42.363202679
  ],
  ""type"": ""Point""
}",-83.0163391199999,42.363202679
